Sr.,Category,Quantity,Rate,Amount,% Amount
23,10 Yrd Paithani,4,2488.53,9954.12,0.22
23,10 Yrd Paithani,5,1475.00,7375.00,0.17
23,10 Yrd Paithani,3,1628.00,4884.00,0.11
25,10Yrd Sajan,3,1733.00,5199.00,0.12
26,9 Yard  Border,3,1149.78,3449.34,0.08
26,9 Yard  Border,2,504.00,1008.00,0.02
26,9 Yard  Border,10,546.00,5460.00,0.12
26,9 Yard  Border,22,383.27,8431.94,0.19
26,9 Yard  Border,4,559.66,2238.64,0.05
27,9 Yard Border,1,473.00,473.00,0.01
28,9 Yard Cotton,2,306.60,613.20,0.01
29,9 Yard Printed,28,236.27,6615.56,0.15
29,9 Yard Printed,13,262.73,3415.49,0.08
29,9 Yard Printed,11,409.52,4504.72,0.10
29,9 Yard Printed,1,378.02,378.02,0.01
29,9 Yard Printed,1,252.00,252.00,0.01
29,9 Yard Printed,5,284.00,1420.00,0.03
29,9 Yard Printed,20,257.00,5140.00,0.12
30,9 Yard Silk,2,2079.00,4158.00,0.09
31,9 Yrd,1,427.43,427.43,0.01
34,Banarasi,2,1733.00,3466.00,0.08
34,Banarasi,1,1995.00,1995.00,0.05
34,Banarasi,1,2047.57,2047.57,0.05
34,Banarasi,2,1785.00,3570.00,0.08
34,Banarasi,1,1654.00,1654.00,0.04
34,Banarasi,1,1890.00,1890.00,0.04
34,Banarasi,2,1155.02,2310.04,0.05
34,Banarasi,1,3281.22,3281.22,0.07
34,Banarasi,6,619.50,3717.00,0.08
34,Banarasi,1,661.50,661.50,0.01
34,Banarasi,1,1732.00,1732.00,0.04
34,Banarasi,20,934.50,18690.00,0.42
34,Banarasi,4,693.00,2772.00,0.06
34,Banarasi,1,262.51,262.51,0.01
34,Banarasi,6,945.00,5670.00,0.13
34,Banarasi,1,1008.00,1008.00,0.02
34,Banarasi,2,1007.99,2015.98,0.05
34,Banarasi,5,220.50,1102.50,0.02
34,Banarasi,2,672.00,1344.00,0.03
34,Banarasi,1,1312.50,1312.50,0.03
34,Banarasi,2,2310.00,4620.00,0.10
34,Banarasi,1,805.60,805.60,0.02
35,Banarasi  Em,2,1023.76,2047.52,0.05
36,Banarasi  Jal,1,787.51,787.51,0.02
37,Banarasi  Shalu,1,3543.80,3543.80,0.08
37,Banarasi  Shalu,1,3648.80,3648.80,0.08
37,Banarasi  Shalu,1,3753.80,3753.80,0.08
37,Banarasi  Shalu,1,4173.81,4173.81,0.09
37,Banarasi  Shalu,3,1233.75,3701.25,0.08
37,Banarasi  Shalu,1,1653.75,1653.75,0.04
37,Banarasi  Shalu,1,1758.75,1758.75,0.04
37,Banarasi  Shalu,1,3123.73,3123.73,0.07
37,Banarasi  Shalu,1,3228.73,3228.73,0.07
37,Banarasi  Shalu,9,1575.00,14175.00,0.32
38,Banarasi  Silk,4,682.50,2730.00,0.06
38,Banarasi  Silk,14,992.00,13888.00,0.31
38,Banarasi  Silk,6,1727.25,10363.50,0.23
38,Banarasi  Silk,1,698.25,698.25,0.02
38,Banarasi  Silk,5,673.33,3366.65,0.08
39,Banarasi Buti,2,1233.74,2467.48,0.06
39,Banarasi Buti,1,1338.74,1338.74,0.03
40,Banarasi Em,1,682.49,682.49,0.02
43,Banarasi Shalu,1,1838.00,1838.00,0.04
43,Banarasi Shalu,2,1523.00,3046.00,0.07
43,Banarasi Shalu,2,3412.50,6825.00,0.15
44,Banarasi Shalu1,5,1627.50,8137.50,0.18
44,Banarasi Shalu1,1,3229.00,3229.00,0.07
44,Banarasi Shalu1,5,3859.00,19295.00,0.44
44,Banarasi Shalu1,1,2179.00,2179.00,0.05
44,Banarasi Shalu1,1,3438.73,3438.73,0.08
44,Banarasi Shalu1,4,3228.75,12915.00,0.29
44,Banarasi Shalu1,2,3438.75,6877.50,0.16
44,Banarasi Shalu1,1,3543.75,3543.75,0.08
44,Banarasi Shalu1,8,1313.00,10504.00,0.24
44,Banarasi Shalu1,7,998.00,6986.00,0.16
45,Banarasi Silk,5,1838.00,9190.00,0.21
45,Banarasi Silk,4,1995.00,7980.00,0.18
45,Banarasi Silk,3,1628.00,4884.00,0.11
45,Banarasi Silk,7,1785.00,12495.00,0.28
45,Banarasi Silk,7,1995.00,13965.00,0.32
45,Banarasi Silk,5,1155.01,5775.05,0.13
45,Banarasi Silk,3,1050.01,3150.03,0.07
45,Banarasi Silk,7,1233.76,8636.32,0.20
45,Banarasi Silk,1,840.00,840.00,0.02
45,Banarasi Silk,3,2572.57,7717.71,0.17
45,Banarasi Silk,8,2179.00,17432.00,0.39
45,Banarasi Silk,1,2599.00,2599.00,0.06
45,Banarasi Silk,1,1548.73,1548.73,0.03
45,Banarasi Silk,8,1574.99,12599.92,0.28
45,Banarasi Silk,3,672.00,2016.00,0.05
45,Banarasi Silk,2,1097.00,2194.00,0.05
45,Banarasi Silk,1,1076.00,1076.00,0.02
45,Banarasi Silk,4,1045.00,4180.00,0.09
45,Banarasi Silk,8,998.00,7984.00,0.18
45,Banarasi Silk,2,761.00,1522.00,0.03
45,Banarasi Silk,2,551.00,1102.00,0.02
45,Banarasi Silk,2,546.00,1092.00,0.02
45,Banarasi Silk,1,829.00,829.00,0.02
46,Banarasi Silk.,9,934.00,8406.00,0.19
46,Banarasi Silk.,7,1181.00,8267.00,0.19
46,Banarasi Silk.,1,1706.25,1706.25,0.04
46,Banarasi Silk.,1,2468.00,2468.00,0.06
46,Banarasi Silk.,1,1207.49,1207.49,0.03
46,Banarasi Silk.,1,1128.74,1128.74,0.03
46,Banarasi Silk.,1,1102.49,1102.49,0.02
46,Banarasi Silk.,1,1076.24,1076.24,0.02
47,Banarsi Soft Silk,6,2153.00,12918.00,0.29
47,Banarsi Soft Silk,3,1785.00,5355.00,0.12
47,Banarsi Soft Silk,5,1628.00,8140.00,0.18
48,Bandhani,2,1057.18,2114.36,0.05
48,Bandhani,1,1055.00,1055.00,0.02
48,Bandhani,5,1856.00,9280.00,0.21
48,Bandhani,3,1859.37,5578.11,0.13
49,Bandhni,4,973.00,3892.00,0.09
50,Batik,4,420.00,1680.00,0.04
51,Batik  Silk,16,210.00,3360.00,0.08
52,Batik Print,107,194.25,20784.75,0.47
56,Bns Fancy Blouse,6,1222.00,7332.00,0.17
56,Bns Fancy Blouse,6,1234.00,7404.00,0.17
56,Bns Fancy Blouse,6,1313.00,7878.00,0.18
56,Bns Fancy Blouse,7,1365.00,9555.00,0.22
57,Braidal Broket,1,2489.00,2489.00,0.06
57,Braidal Broket,3,2988.00,8964.00,0.20
57,Braidal Broket,2,3486.00,6972.00,0.16
57,Braidal Broket,1,3985.00,3985.00,0.09
57,Braidal Broket,1,1884.73,1884.73,0.04
57,Braidal Broket,1,2289.00,2289.00,0.05
57,Braidal Broket,2,3686.00,7372.00,0.17
57,Braidal Broket,4,1884.73,7538.92,0.17
58,Braso,1,498.76,498.76,0.01
58,Braso,2,1370.00,2740.00,0.06
58,Braso,1,1129.00,1129.00,0.03
58,Braso,3,732.00,2196.00,0.05
58,Braso,2,1224.00,2448.00,0.06
59,Brasso,13,368.00,4784.00,0.11
59,Brasso,1,520.00,520.00,0.01
59,Brasso,3,704.00,2112.00,0.05
63,Broket,12,472.51,5670.12,0.13
