Sr.,Category,Quantity,Rate,Amount,% Amount
174,KANJIVARAM,1,1045.00,1045.00,0.02
174,KANJIVARAM,2,1669.51,3339.02,0.08
174,KANJIVARAM,1,1354.51,1354.51,0.03
174,KANJIVARAM,6,1606.52,9639.12,0.22
174,KANJIVARAM,2,919.00,1838.00,0.04
174,KANJIVARAM,10,2090.00,20900.00,0.47
174,KANJIVARAM,10,1355.00,13550.00,0.31
174,KANJIVARAM,5,1985.00,9925.00,0.22
174,KANJIVARAM,4,1775.00,7100.00,0.16
174,KANJIVARAM,1,573.57,573.57,0.01
175,KANJIVARM,6,525.00,3150.00,0.07
175,KANJIVARM,2,549.00,1098.00,0.02
175,KANJIVARM,6,573.57,3441.42,0.08
175,KANJIVARM,6,573.57,3441.42,0.08
175,KANJIVARM,2,673.30,1346.60,0.03
176,KANJIWARM,14,546.00,7644.00,0.17
176,KANJIWARM,1,862.00,862.00,0.02
176,KANJIWARM,1,1392.00,1392.00,0.03
176,KANJIWARM,5,1045.00,5225.00,0.12
176,KANJIWARM,4,1044.75,4179.00,0.09
176,KANJIWARM,5,1045.00,5225.00,0.12
176,KANJIWARM,2,504.00,1008.00,0.02
176,KANJIWARM,1,656.27,656.27,0.01
176,KANJIWARM,6,656.26,3937.56,0.09
176,KANJIWARM,3,278.00,834.00,0.02
178,KERLA,1,629.98,629.98,0.01
179,KERLA COTTON,2,299.26,598.52,0.01
182,KOCHAMPALI SILK,1,599.00,599.00,0.01
183,KORA SILK,2,992.00,1984.00,0.04
183,KORA SILK,11,1307.00,14377.00,0.32
183,KORA SILK,10,935.00,9350.00,0.21
183,KORA SILK,2,1312.49,2624.98,0.06
184,KOTA,8,719.00,5752.00,0.13
185,KV TISSUE WORK,10,1491.00,14910.00,0.34
186,LINAN,1,378.00,378.00,0.01
186,LINAN,2,368.00,736.00,0.02
187,LINAN COTTAN,6,393.75,2362.50,0.05
187,LINAN COTTAN,29,246.75,7155.75,0.16
188,LINAN.,1,773.00,773.00,0.02
189,LINEN,1,513.70,513.70,0.01
189,LINEN,6,220.50,1323.00,0.03
189,LINEN,2,1023.76,2047.52,0.05
190,LINEN COTTEN,1,378.00,378.00,0.01
193,MADHURAI  SILK,6,659.14,3954.84,0.09
196,MALAI SILK,1,283.00,283.00,0.01
197,MAU  SILK,2,708.74,1417.48,0.03
197,MAU  SILK,2,940.00,1880.00,0.04
197,MAU  SILK,1,761.00,761.00,0.02
197,MAU  SILK,5,866.00,4330.00,0.10
197,MAU  SILK,2,488.00,976.00,0.02
197,MAU  SILK,1,467.00,467.00,0.01
197,MAU  SILK,1,315.00,315.00,0.01
197,MAU  SILK,2,1029.00,2058.00,0.05
Sr.,Category,Quantity,Rate,Amount,% Amount
198,MAU BORDER,17,162.76,2766.92,0.06
199,MAU SILK,5,998.00,4990.00,0.11
199,MAU SILK,1,624.76,624.76,0.01
199,MAU SILK,2,708.74,1417.48,0.03
199,MAU SILK,1,887.00,887.00,0.02
199,MAU SILK,4,677.00,2708.00,0.06
199,MAU SILK,36,656.00,23616.00,0.53
199,MAU SILK,2,898.00,1796.00,0.04
202,MAYSURE SILK,1,776.00,776.00,0.02
203,MEENA KARI PAITHANI,3,972.57,2917.71,0.07
204,MOSS CRAPE,6,215.25,1291.50,0.03
205,MUL COTTAN,3,625.00,1875.00,0.04
207,MUNIYA PAITHANI,2,987.51,1975.02,0.04
207,MUNIYA PAITHANI,2,648.00,1296.00,0.03
207,MUNIYA PAITHANI,2,648.37,1296.74,0.03
208,NARAYAN PETH,1,540.75,540.75,0.01
208,NARAYAN PETH,8,677.00,5416.00,0.12
208,NARAYAN PETH,1,688.00,688.00,0.02
208,NARAYAN PETH,11,714.01,7854.11,0.18
208,NARAYAN PETH,10,367.50,3675.00,0.08
208,NARAYAN PETH,1,368.00,368.00,0.01
209,NARAYAN PETH.,8,745.50,5964.00,0.13
211,NATH PAITHANI,2,514.50,1029.00,0.02
211,NATH PAITHANI,1,1044.76,1044.76,0.02
213,NAUVARI PRINTED,1,550.19,550.19,0.01
213,NAUVARI PRINTED,1,550.00,550.00,0.01
214,NAVVAR  .,41,220.50,9040.50,0.20
215,NAVVARI,6,809.00,4854.00,0.11
216,NAVVARI PRINTED,3,550.21,1650.63,0.04
217,NAVVARI SILK,3,1680.00,5040.00,0.11
217,NAVVARI SILK,6,1470.00,8820.00,0.20
217,NAVVARI SILK,2,1260.01,2520.02,0.06
217,NAVVARI SILK,4,1365.01,5460.04,0.12
217,NAVVARI SILK,10,2625.00,26250.00,0.59
218,ORGANJA,2,1045.00,2090.00,0.05
218,ORGANJA,5,2305.00,11525.00,0.26
219,ORGANZ A,4,1097.25,4389.00,0.10
220,ORGANZA,20,273.00,5460.00,0.12
221,PAITHANI,8,698.25,5586.00,0.13
221,PAITHANI,5,719.25,3596.25,0.08
221,PAITHANI,9,698.25,6284.25,0.14
221,PAITHANI,17,971.25,16511.25,0.37
221,PAITHANI,11,834.75,9182.25,0.21
221,PAITHANI,1,1228.51,1228.51,0.03
221,PAITHANI,1,1543.52,1543.52,0.03
221,PAITHANI,2,2804.00,5608.00,0.13
221,PAITHANI,3,2709.00,8127.00,0.18
221,PAITHANI,1,1417.50,1417.50,0.03
221,PAITHANI,14,1260.00,17640.00,0.40
221,PAITHANI,7,2205.00,15435.00,0.35
221,PAITHANI,17,1260.00,21420.00,0.48
